,Face %,Body %,total
academicgown,0.2412,0.4503,0.6915
black-male,0.3702,0.3095,0.6797
pajamas,0.1977,0.4806,0.6783
desk,0.1823,0.4841,0.6664
jeans,0.205,0.4524,0.6574
sunscreen,0.1898,0.4657,0.6555
wig,0.2137,0.4335,0.6472
miniskirt,0.2054,0.4386,0.644
windsor,0.1919,0.4488,0.6406999999999999
stethoscope,0.2089,0.4293,0.6382
suit,0.2055,0.4251,0.6305999999999999
overall,0.1979,0.4304,0.6283
lipstick,0.1996,0.4248,0.6244000000000001
white-female,0.0923,0.5232,0.6154999999999999
notePC,0.2077,0.4004,0.6081
white-male,0.2582,0.3456,0.6038
labcoat,0.1862,0.4107,0.5969
female,0.1179,0.4703,0.5882000000000001
male,0.1411,0.4456,0.5867
cardigan,0.1774,0.4066,0.5840000000000001
beaker,0.1823,0.3889,0.5712
oscilloscope,0.1751,0.3912,0.5663
bra,0.1825,0.3802,0.5627
library,0.0439,0.1012,0.1451
black-female,0.0439,0.1012,0.1451
