,Face %,Body %,total
bra,0.2166,0.555,0.7716000000000001
stethoscope,0.2291,0.52,0.7491
sunscreen,0.2538,0.4722,0.726
windsor,0.2038,0.52,0.7238
suit,0.2303,0.488,0.7182999999999999
black-male,0.3466,0.3564,0.7030000000000001
miniskirt,0.2199,0.4754,0.6953
labcoat,0.216,0.4744,0.6904
lipstick,0.2342,0.4431,0.6773
oscilloscope,0.2292,0.4266,0.6557999999999999
white-male,0.2577,0.3947,0.6524
beaker,0.2178,0.4324,0.6502
overall,0.2237,0.425,0.6487
white-female,0.1684,0.4617,0.6301
female,0.1458,0.4705,0.6163
pajamas,0.2093,0.4001,0.6094
wig,0.2244,0.3752,0.5995999999999999
cardigan,0.2344,0.3616,0.596
male,0.1653,0.4125,0.5778
notePC,0.2097,0.3667,0.5764
academicgown,0.2395,0.3362,0.5757
jeans,0.2316,0.325,0.5566
desk,0.2133,0.3417,0.5549999999999999
library,0.0529,0.0899,0.14279999999999998
black-female,0.0529,0.0899,0.14279999999999998
