,Face %,Body %,total
black-male,0.3479,0.3205,0.6684
oscilloscope,0.2462,0.4097,0.6559
notePC,0.2627,0.3848,0.6475
jeans,0.2396,0.3998,0.6394
stethoscope,0.2463,0.3924,0.6387
labcoat,0.2444,0.3909,0.6353
bra,0.2436,0.3914,0.635
desk,0.2499,0.3844,0.6343000000000001
wig,0.2444,0.3859,0.6303000000000001
white-male,0.2975,0.3307,0.6282
suit,0.2347,0.3865,0.6212
academicgown,0.2149,0.4057,0.6206
overall,0.2314,0.3888,0.6202
miniskirt,0.2296,0.3867,0.6163
sunscreen,0.2248,0.3899,0.6147
lipstick,0.2057,0.4018,0.6074999999999999
white-female,0.1738,0.433,0.6068
beaker,0.2177,0.389,0.6067
female,0.1824,0.4161,0.5985
cardigan,0.2139,0.3845,0.5984
windsor,0.2054,0.3862,0.5916
pajamas,0.2188,0.3552,0.5740000000000001
male,0.1564,0.4024,0.5588
library,0.0492,0.0888,0.138
black-female,0.0492,0.0888,0.138
