,Face %,Body %,total
black-male,0.3027,0.3467,0.6494
pajamas,0.2111,0.4153,0.6264000000000001
sunscreen,0.2135,0.4122,0.6257
oscilloscope,0.2254,0.3948,0.6202
stethoscope,0.1827,0.426,0.6087
notePC,0.1902,0.4044,0.5946
desk,0.2208,0.3727,0.5934999999999999
jeans,0.2115,0.3744,0.5859
beaker,0.22,0.3629,0.5829
overall,0.1969,0.3783,0.5752
suit,0.1889,0.3823,0.5711999999999999
female,0.1527,0.4109,0.5636
lipstick,0.1835,0.3793,0.5628
cardigan,0.1745,0.3845,0.5589999999999999
windsor,0.1831,0.3755,0.5586
labcoat,0.1849,0.3728,0.5577000000000001
white-female,0.1646,0.3831,0.5477
wig,0.1998,0.3457,0.5455
academicgown,0.1845,0.3523,0.5367999999999999
bra,0.187,0.3487,0.5357000000000001
white-male,0.2403,0.2931,0.5334000000000001
male,0.1392,0.3893,0.5285
miniskirt,0.188,0.3336,0.5216000000000001
library,0.0394,0.0915,0.1309
black-female,0.0394,0.0915,0.1309
