,Face %,Body %,total
notePC,0.2981,0.3903,0.6883999999999999
jeans,0.2969,0.3862,0.6831
oscilloscope,0.3073,0.3744,0.6817
sunscreen,0.2793,0.3606,0.6398999999999999
academicgown,0.2692,0.3684,0.6376
black-male,0.3356,0.2797,0.6153
beaker,0.2556,0.3489,0.6045
white-female,0.1944,0.4081,0.6025
overall,0.2378,0.3631,0.6009
suit,0.2226,0.3765,0.5991
wig,0.2101,0.3884,0.5985
white-male,0.2723,0.3225,0.5948
pajamas,0.1972,0.3897,0.5869
desk,0.2042,0.3765,0.5807
bra,0.2229,0.3545,0.5773999999999999
cardigan,0.2071,0.3694,0.5765
miniskirt,0.2099,0.3556,0.5655
female,0.1907,0.3738,0.5645
labcoat,0.2191,0.3433,0.5624
male,0.1881,0.3735,0.5616
lipstick,0.2265,0.3266,0.5531
stethoscope,0.2069,0.3385,0.5454
windsor,0.2231,0.3188,0.5418999999999999
library,0.0519,0.0866,0.1385
black-female,0.0519,0.0866,0.1385
