,Face %,Body %,total
oscilloscope,0.2834,0.52,0.8034
beaker,0.2643,0.5064,0.7706999999999999
stethoscope,0.2668,0.4859,0.7526999999999999
notePC,0.2534,0.4885,0.7419
desk,0.2459,0.4804,0.7263
wig,0.1988,0.492,0.6908
pajamas,0.2279,0.4199,0.6477999999999999
black-male,0.3322,0.3064,0.6386000000000001
academicgown,0.2261,0.3827,0.6088
white-male,0.2737,0.3317,0.6053999999999999
overall,0.2145,0.3711,0.5856
labcoat,0.2345,0.3394,0.5739
male,0.1387,0.3987,0.5374
female,0.1428,0.3834,0.5262
windsor,0.1889,0.3086,0.4975
white-female,0.1425,0.3524,0.4949
suit,0.1738,0.3072,0.481
sunscreen,0.197,0.2765,0.47350000000000003
bra,0.1689,0.3007,0.4696
miniskirt,0.1888,0.2762,0.46499999999999997
lipstick,0.1953,0.2608,0.45609999999999995
cardigan,0.1961,0.2575,0.4536
jeans,0.1701,0.2816,0.4517
library,0.0506,0.0876,0.1382
black-female,0.0506,0.0876,0.1382
