,Face %,Body %,total
black-male,0.4265,0.3895,0.8160000000000001
labcoat,0.3153,0.4976,0.8129
oscilloscope,0.3158,0.4952,0.8109999999999999
lipstick,0.319,0.4865,0.8055
jeans,0.3079,0.4941,0.802
notePC,0.3005,0.4998,0.8003
male,0.2146,0.5854,0.8
stethoscope,0.3077,0.4895,0.7971999999999999
suit,0.3078,0.4889,0.7967
desk,0.2911,0.5054,0.7965
miniskirt,0.3041,0.4923,0.7964
white-male,0.3637,0.4324,0.7961
windsor,0.2989,0.4951,0.794
wig,0.3064,0.4851,0.7915
overall,0.3041,0.4844,0.7885
cardigan,0.3068,0.4806,0.7874000000000001
academicgown,0.2939,0.487,0.7808999999999999
pajamas,0.2853,0.4953,0.7806
bra,0.2882,0.4795,0.7677
sunscreen,0.3193,0.447,0.7663
white-female,0.2372,0.5174,0.7545999999999999
female,0.2248,0.5297,0.7545
beaker,0.3125,0.4287,0.7412000000000001
library,0.0727,0.0972,0.1699
black-female,0.0727,0.0972,0.1699
