,Face %,Body %,total
suit,0.1789,0.4963,0.6752
miniskirt,0.1841,0.469,0.6531
bra,0.1529,0.4977,0.6506
lipstick,0.1667,0.4838,0.6505
notePC,0.1908,0.4588,0.6496
sunscreen,0.1514,0.4881,0.6395
oscilloscope,0.1656,0.4702,0.6358
black-male,0.248,0.3795,0.6275
white-male,0.1932,0.4286,0.6218
pajamas,0.1522,0.4424,0.5946
cardigan,0.1401,0.4476,0.5877
beaker,0.1634,0.4173,0.5807
overall,0.1576,0.4141,0.5717
wig,0.1705,0.3857,0.5562
white-female,0.1121,0.417,0.5291
female,0.1281,0.399,0.5271
male,0.0988,0.4143,0.5131
windsor,0.1542,0.3517,0.5059
desk,0.1392,0.3554,0.4946
academicgown,0.1483,0.3374,0.48569999999999997
labcoat,0.1495,0.3066,0.45609999999999995
jeans,0.1556,0.2984,0.45399999999999996
stethoscope,0.1224,0.3077,0.4301
library,0.0345,0.0956,0.1301
black-female,0.0345,0.0956,0.1301
