,,X,Y,A,B,d,x_ab,y_ab,p,n_t,n_a,sig
Insect-Flower,beit,flower,insect,pleasant,unpleasant,1.635572133119638,0.06083804655869712,-0.0342846708496118,0.0001,35,55,***
Gender-Science,beit,male,female,science,liberal-arts,0.33919153760099163,0.02101339093506875,0.015036742178417722,0.0641,40,21,*
Gender-Career,beit,male,female,career,family,0.36880289317670684,-0.0691962840345555,-0.07887244617830574,0.0543,40,21,*
Intersectional-Gender-Science-MF,beit,male,female,science,liberal-arts,0.04927719298907976,0.012457871049551122,0.01175770444647159,0.4149,40,21,
Intersectional-Gender-Science-WMBM,beit,white-male,black-male,science,liberal-arts,0.3319586412400379,0.01501604288502384,0.009899699214078406,0.1432,20,21,
Intersectional-Gender-Science-WMBF,beit,white-male,black-female,science,liberal-arts,0.02583841159037786,0.01501604288502384,0.01465659923299997,0.4678,20,21,
Intersectional-Gender-Science-WMWF,beit,white-male,white-female,science,liberal-arts,0.4046396968206282,0.01501604288502384,0.008858809659943205,0.0997,20,21,*
Intersectional-Gender-Science-BMBF,beit,black-male,black-female,science,liberal-arts,-0.35719847919930603,0.009899699214078406,0.01465659923299997,0.867,20,21,
Intersectional-Gender-Science-BMWF,beit,black-male,white-female,science,liberal-arts,0.07357267113582809,0.009899699214078406,0.008858809659943205,0.4145,20,21,
Intersectional-Gender-Career-MF,beit,male,female,career,family,0.6551607622522913,-0.056858032890947596,-0.07190168351820293,0.0011,40,21,***
Intersectional-Gender-Career-WMBM,beit,black-male,white-male,career,family,-0.05809343745651702,-0.05762578758100108,-0.05609027820089413,0.5701,20,21,
Intersectional-Gender-Career-WMBF,beit,white-male,black-female,career,family,0.5117686854685373,-0.05609027820089413,-0.0673817679929811,0.0539,20,21,*
Intersectional-Gender-Career-WMWF,beit,white-male,white-female,career,family,0.8435806674117962,-0.05609027820089413,-0.07642159904342478,0.0025,20,21,***
Intersectional-Gender-Career-BMBF,beit,black-male,black-female,career,family,0.44533638560307737,-0.05762578758100108,-0.0673817679929811,0.0838,20,21,*
Intersectional-Gender-Career-BMWF,beit,black-male,white-female,career,family,0.7894462668646555,-0.05762578758100108,-0.07642159904342478,0.0058,20,21,***
Intersectional-Valence-BW,beit,white,black,pleasant,unpleasant,0.9517775524576721,0.027809461467094808,0.01104925301921635,0.0001,40,55,***
Intersectional-Valence-WMBM,beit,white-male,black-male,pleasant,unpleasant,0.905872469278975,0.023855441590854117,0.007660835394389799,0.001,20,55,***
Intersectional-Valence-WMBF,beit,white-male,black-female,pleasant,unpleasant,0.6918657428821176,0.023855441590854117,0.014437670644042897,0.0136,20,55,**
Intersectional-Valence-WMWF,beit,white-female,white-male,pleasant,unpleasant,0.46621406681605354,0.03176348134333551,0.023855441590854117,0.0673,20,55,*
Intersectional-Valence-WFBM,beit,white-female,black-male,pleasant,unpleasant,1.1455690572018036,0.03176348134333551,0.007660835394389799,0.0001,20,55,***
Intersectional-Valence-BFBM,beit,black-female,black-male,pleasant,unpleasant,0.4836161271685395,0.014437670644042897,0.007660835394389799,0.0632,20,55,*
Intersectional-Valence-WFBF,beit,white-female,black-female,pleasant,unpleasant,1.0337837608387455,0.03176348134333551,0.014437670644042897,0.0003,20,55,***
Intersectional-Valence-FM,beit,female,male,pleasant,unpleasant,0.41696183049106483,0.023100575993689202,0.015758138492621955,0.0323,40,55,**
Insect-Flower,maskfeat,flower,insect,pleasant,unpleasant,1.6587453719928493,0.05219271959029856,-0.034010681979184665,0.0001,35,55,***
