,,X,Y,A,B,d,x_ab,y_ab,p,n_t,n_a,sig
Insect-Flower,beit,flower,insect,pleasant,unpleasant,1.3123761817750346,0.0315143784299928,-0.024940826796827843,0.0001,35,55,***
Gender-Science,beit,male,female,science,liberal-arts,0.03551891979902155,0.007882402887773279,0.007441956486647005,0.4374,40,21,
Gender-Career,beit,male,female,career,family,0.23215100276060496,-0.02791736131974426,-0.03284963889472049,0.1479,40,21,
Intersectional-Gender-Science-MF,beit,male,female,science,liberal-arts,0.38807718188178836,0.006869834897809556,0.003813240226510771,0.0384,40,21,**
Intersectional-Gender-Science-WMBM,beit,white-male,black-male,science,liberal-arts,0.0828590505777549,0.007300911737325172,0.0064387580582939375,0.4044,20,21,
Intersectional-Gender-Science-WMBF,beit,white-male,black-female,science,liberal-arts,0.4962132563221063,0.007300911737325172,0.0030447624793023265,0.058,20,21,*
Intersectional-Gender-Science-WMWF,beit,white-male,white-female,science,liberal-arts,0.30897036302239156,0.007300911737325172,0.0045817179737192145,0.1897,20,21,
Intersectional-Gender-Science-BMBF,beit,black-male,black-female,science,liberal-arts,0.49261337299558,0.0064387580582939375,0.0030447624793023265,0.0485,20,21,**
Intersectional-Gender-Science-BMWF,beit,black-male,white-female,science,liberal-arts,0.2574417571895195,0.0064387580582939375,0.0045817179737192145,0.2382,20,21,
Intersectional-Gender-Career-MF,beit,male,female,career,family,0.4485935142126478,-0.02387575661096113,-0.03404401910861586,0.0187,40,21,**
Intersectional-Gender-Career-WMBM,beit,black-male,white-male,career,family,0.18747924108143002,-0.022459356230735993,-0.02529215699118627,0.2928,20,21,
Intersectional-Gender-Career-WMBF,beit,white-male,black-female,career,family,0.44396140777454896,-0.02529215699118627,-0.03714766948520475,0.0817,20,21,*
Intersectional-Gender-Career-WMWF,beit,white-male,white-female,career,family,0.3012400949128493,-0.02529215699118627,-0.030940368732026973,0.1709,20,21,
Intersectional-Gender-Career-BMBF,beit,black-male,black-female,career,family,0.5600920597417703,-0.022459356230735993,-0.03714766948520475,0.0279,20,21,**
Intersectional-Gender-Career-BMWF,beit,black-male,white-female,career,family,0.4762047600857365,-0.022459356230735993,-0.030940368732026973,0.0661,20,21,*
Intersectional-Valence-BW,beit,white,black,pleasant,unpleasant,0.22516193388070097,-0.0019958701485668882,-0.003770253282802076,0.1572,40,55,
Intersectional-Valence-WMBM,beit,white-male,black-male,pleasant,unpleasant,-0.05142696051738307,-0.006310589184551954,-0.0059277066589813856,0.5572,20,55,
Intersectional-Valence-WMBF,beit,white-male,black-female,pleasant,unpleasant,-0.5638638322923624,-0.006310589184551954,-0.001612799906622767,0.9657,20,55,
Intersectional-Valence-WMWF,beit,white-female,white-male,pleasant,unpleasant,1.1614846722137007,0.002318848887418177,-0.006310589184551954,0.0001,20,55,***
Intersectional-Valence-WFBM,beit,white-female,black-male,pleasant,unpleasant,1.1222458316459205,0.002318848887418177,-0.0059277066589813856,0.0001,20,55,***
Intersectional-Valence-BFBM,beit,black-female,black-male,pleasant,unpleasant,0.5195226470534221,-0.001612799906622767,-0.0059277066589813856,0.0505,20,55,*
Intersectional-Valence-WFBF,beit,white-female,black-female,pleasant,unpleasant,0.5623299618035836,0.002318848887418177,-0.001612799906622767,0.0397,20,55,**
Intersectional-Valence-FM,beit,female,male,pleasant,unpleasant,0.8212921035007392,0.000353024490397705,-0.00611914792176667,0.0003,40,55,***
Insect-Flower,maskfeat,flower,insect,pleasant,unpleasant,1.0932951614425028,0.01692500556190182,-0.028005366469323407,0.0001,35,55,***
Gender-Science,maskfeat,male,female,science,liberal-arts,-0.03131530308566384,0.013199487915198562,0.014004994429238674,0.5621,40,21,
Gender-Career,maskfeat,male,female,career,family,0.7261794834905239,-0.012980458175524467,-0.030578166109952655,0.0007,40,21,***
Intersectional-Gender-Science-MF,maskfeat,male,female,science,liberal-arts,0.3004507496023809,0.013489368408569454,0.006812588428403964,0.0988,40,21,*
Intersectional-Gender-Science-WMBM,maskfeat,white-male,black-male,science,liberal-arts,0.26658292113469734,0.016807685193309035,0.010171051623829877,0.2043,20,21,
Intersectional-Gender-Science-WMBF,maskfeat,white-male,black-female,science,liberal-arts,0.6833457431476269,0.016807685193309035,0.0024886612544528794,0.0037,20,21,***
Intersectional-Gender-Science-WMWF,maskfeat,white-male,white-female,science,liberal-arts,0.21106808539674865,0.016807685193309035,0.011136515602355047,0.2514,20,21,
Intersectional-Gender-Science-BMBF,maskfeat,black-male,black-female,science,liberal-arts,0.48738398250137893,0.010171051623829877,0.0024886612544528794,0.0079,20,21,***
Intersectional-Gender-Science-BMWF,maskfeat,black-male,white-female,science,liberal-arts,-0.04077119870211507,0.010171051623829877,0.011136515602355047,0.5034,20,21,
Intersectional-Gender-Career-MF,maskfeat,male,female,career,family,0.8664231493953113,-0.012190289542196567,-0.029894415723524793,0.0001,40,21,***
Intersectional-Gender-Career-WMBM,maskfeat,black-male,white-male,career,family,-0.219212316689426,-0.013900800298581126,-0.010479778785812008,0.7578,20,21,
Intersectional-Gender-Career-WMBF,maskfeat,white-male,black-female,career,family,1.1581139782523713,-0.010479778785812008,-0.034943742805995874,0.0003,20,21,***
Intersectional-Gender-Career-WMWF,maskfeat,white-male,white-female,career,family,0.6918201997082221,-0.010479778785812008,-0.024845088641053704,0.012,20,21,**
Intersectional-Gender-Career-BMBF,maskfeat,black-male,black-female,career,family,1.063956488104786,-0.013900800298581126,-0.034943742805995874,0.0007,20,21,***
Intersectional-Gender-Career-BMWF,maskfeat,black-male,white-female,career,family,0.5514846777077341,-0.013900800298581126,-0.024845088641053704,0.0445,20,21,**
Intersectional-Valence-BW,maskfeat,white,black,pleasant,unpleasant,0.4202221188195364,-0.0015933697578061976,-0.00646171244159712,0.0338,40,55,**
Intersectional-Valence-WMBM,maskfeat,white-male,black-male,pleasant,unpleasant,0.3660246533033933,-0.006432434847302632,-0.011361225398900032,0.1273,20,55,
Intersectional-Valence-WMBF,maskfeat,white-male,black-female,pleasant,unpleasant,-0.4491346726934306,-0.006432434847302632,-0.0015621994842942087,0.9277,20,55,
Intersectional-Valence-WMWF,maskfeat,white-female,white-male,pleasant,unpleasant,0.9042864603423344,0.003245695331690235,-0.006432434847302632,0.0008,20,55,***
Intersectional-Valence-WFBM,maskfeat,white-female,black-male,pleasant,unpleasant,1.1759598404354261,0.003245695331690235,-0.011361225398900032,0.0001,20,55,***
Intersectional-Valence-BFBM,maskfeat,black-female,black-male,pleasant,unpleasant,0.8132722290636654,-0.0015621994842942087,-0.011361225398900032,0.0041,20,55,***
Intersectional-Valence-WFBF,maskfeat,white-female,black-female,pleasant,unpleasant,0.7426552713023507,0.003245695331690235,-0.0015621994842942087,0.0027,20,55,***
Intersectional-Valence-FM,maskfeat,female,male,pleasant,unpleasant,0.8406076085689115,0.0008417479236980128,-0.008896830123101333,0.0002,40,55,***
Insect-Flower,mae,flower,insect,pleasant,unpleasant,1.2126975860122606,0.01943701657717785,-0.030585057365754537,0.0001,35,55,***
Gender-Science,mae,male,female,science,liberal-arts,-0.14657575536114753,0.01107163614767826,0.01412631704073158,0.7432,40,21,
Gender-Career,mae,male,female,career,family,0.010858047422088048,-0.009602208346714181,-0.009820568655959738,0.4793,40,21,
Intersectional-Gender-Science-MF,mae,male,female,science,liberal-arts,0.13924738886221655,0.011212577335837628,0.008607939362261587,0.2725,40,21,
Intersectional-Gender-Science-WMBM,mae,white-male,black-male,science,liberal-arts,0.18058347791693502,0.012881027920641363,0.009544126751033895,0.2997,20,21,
Intersectional-Gender-Science-WMBF,mae,white-male,black-female,science,liberal-arts,0.39514214787116647,0.012881027920641363,0.005554943111928957,0.1158,20,21,
Intersectional-Gender-Science-WMWF,mae,white-male,white-female,science,liberal-arts,0.05698293390455572,0.012881027920641363,0.011660935612594217,0.4433,20,21,
Intersectional-Gender-Science-BMBF,mae,black-male,black-female,science,liberal-arts,0.2581209856164563,0.009544126751033895,0.005554943111928957,0.2346,20,21,
Intersectional-Gender-Science-BMWF,mae,black-male,white-female,science,liberal-arts,-0.11095016227617281,0.009544126751033895,0.011660935612594217,0.6332,20,21,
Intersectional-Gender-Career-MF,mae,male,female,career,family,0.3722926538705517,-0.006519970085982379,-0.014909964013158482,0.0455,40,21,**
Intersectional-Gender-Career-WMBM,mae,black-male,white-male,career,family,-0.16086305034892237,-0.007765757702387667,-0.005274182469577091,0.685,20,21,
Intersectional-Gender-Career-WMBF,mae,white-male,black-female,career,family,0.49588775629928616,-0.005274182469577091,-0.01871767919606854,0.0462,20,21,**
Intersectional-Gender-Career-WMWF,mae,white-male,white-female,career,family,0.3363370410397822,-0.005274182469577091,-0.01110224883024843,0.1515,20,21,
